comp_name,Industry,Symbol,yf_sym
360 ONE WAM,Financial Services,360ONE,360ONE.ns
3M India,Diversified,3MINDIA,3MINDIA.ns
ABB India,Capital Goods,ABB,ABB.ns
ACC,Construction Materials,ACC,ACC.ns
AIA Engineering,Capital Goods,AIAENG,AIAENG.ns
APL Apollo Tubes,Capital Goods,APLAPOLLO,APLAPOLLO.ns
AU Small Finance Bank,Financial Services,AUBANK,AUBANK.ns
Aadhar Housing Finance,Financial Services,AADHARHFC,AADHARHFC.ns
Aarti Industries,Chemicals,AARTIIND,AARTIIND.ns
Aavas Financiers,Financial Services,AAVAS,AAVAS.ns
Abbott India,Healthcare,ABBOTINDIA,ABBOTINDIA.ns
Action Construction Equipment,Capital Goods,ACE,ACE.ns
Adani Energy Solutions,Power,ADANIENSOL,ADANIENSOL.ns
Adani Enterprises,Metals & Mining,ADANIENT,ADANIENT.ns
Adani Green Energy,Power,ADANIGREEN,ADANIGREEN.ns
Adani Ports and Special Economic Zone,Services,ADANIPORTS,ADANIPORTS.ns
Adani Power,Power,ADANIPOWER,ADANIPOWER.ns
Adani Total Gas,Oil Gas & Consumable Fuels,ATGL,ATGL.ns
Adani Wilmar,Fast Moving Consumer Goods,AWL,AWL.ns
Aditya Birla Capital,Financial Services,ABCAPITAL,ABCAPITAL.ns
Aditya Birla Fashion and Retail,Consumer Services,ABFRL,ABFRL.ns
Aditya Birla Real Estate,Forest Materials,ABREL,ABREL.ns
Aditya Birla Sun Life AMC,Financial Services,ABSLAMC,ABSLAMC.ns
Aegis Logistics,Oil Gas & Consumable Fuels,AEGISLOG,AEGISLOG.ns
Affle (India),Information Technology,AFFLE,AFFLE.ns
Ajanta Pharmaceuticals,Healthcare,AJANTPHARM,AJANTPHARM.ns
Akums Drugs and Pharmaceuticals,Healthcare,AKUMS,AKUMS.ns
Alembic Pharmaceuticals,Healthcare,APLLTD,APLLTD.ns
Alkem Laboratories,Healthcare,ALKEM,ALKEM.ns
Alkyl Amines Chemicals,Chemicals,ALKYLAMINE,ALKYLAMINE.ns
Alok Industries,Textiles,ALOKINDS,ALOKINDS.ns
Amara Raja Energy & Mobility,Automobile and Auto Components,ARE&M,ARE&M.ns
Amber Enterprises India,Consumer Durables,AMBER,AMBER.ns
Ambuja Cements,Construction Materials,AMBUJACEM,AMBUJACEM.ns
Anand Rathi Wealth,Financial Services,ANANDRATHI,ANANDRATHI.ns
Anant Raj,Realty,ANANTRAJ,ANANTRAJ.ns
Angel One,Financial Services,ANGELONE,ANGELONE.ns
Apar Industries,Capital Goods,APARINDS,APARINDS.ns
Apollo Hospitals Enterprise,Healthcare,APOLLOHOSP,APOLLOHOSP.ns
Apollo Tyres,Automobile and Auto Components,APOLLOTYRE,APOLLOTYRE.ns
Aptus Value Housing Finance India,Financial Services,APTUS,APTUS.ns
Archean Chemical Industries,Chemicals,ACI,ACI.ns
Asahi India Glass,Automobile and Auto Components,ASAHIINDIA,ASAHIINDIA.ns
Ashok Leyland,Capital Goods,ASHOKLEY,ASHOKLEY.ns
Asian Paints,Consumer Durables,ASIANPAINT,ASIANPAINT.ns
Aster DM Healthcare,Healthcare,ASTERDM,ASTERDM.ns
AstraZenca Pharma India,Healthcare,ASTRAZEN,ASTRAZEN.ns
Astral,Capital Goods,ASTRAL,ASTRAL.ns
Atul,Chemicals,ATUL,ATUL.ns
Aurobindo Pharma,Healthcare,AUROPHARMA,AUROPHARMA.ns
Avanti Feeds,Fast Moving Consumer Goods,AVANTIFEED,AVANTIFEED.ns
Avenue Supermarts,Consumer Services,DMART,DMART.ns
Axis Bank,Financial Services,AXISBANK,AXISBANK.ns
BASF India,Chemicals,BASF,BASF.ns
BEML,Capital Goods,BEML,BEML.ns
BLS International Services,Consumer Services,BLS,BLS.ns
BSE,Financial Services,BSE,BSE.ns
Bajaj Auto,Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.ns
Bajaj Finance,Financial Services,BAJFINANCE,BAJFINANCE.ns
Bajaj Finserv,Financial Services,BAJAJFINSV,BAJAJFINSV.ns
Bajaj Holdings & Investment,Financial Services,BAJAJHLDNG,BAJAJHLDNG.ns
Balaji Amines,Chemicals,BALAMINES,BALAMINES.ns
Balkrishna Industries,Automobile and Auto Components,BALKRISIND,BALKRISIND.ns
Balrampur Chini Mills,Fast Moving Consumer Goods,BALRAMCHIN,BALRAMCHIN.ns
Bandhan Bank,Financial Services,BANDHANBNK,BANDHANBNK.ns
Bank of,Financial Services,BANKBARODA,BANKBARODA.ns
Bank of,Financial Services,BANKINDIA,BANKINDIA.ns
Bank of,Financial Services,MAHABANK,MAHABANK.ns
Bata India,Consumer Durables,BATAINDIA,BATAINDIA.ns
Bayer Cropscience,Chemicals,BAYERCROP,BAYERCROP.ns
Berger Paints India,Consumer Durables,BERGEPAINT,BERGEPAINT.ns
Bharat Dynamics,Capital Goods,BDL,BDL.ns
Bharat Electronics,Capital Goods,BEL,BEL.ns
Bharat Forge,Automobile and Auto Components,BHARATFORG,BHARATFORG.ns
Bharat Heavy Electricals,Capital Goods,BHEL,BHEL.ns
Bharat Petroleum Corporation,Oil Gas & Consumable Fuels,BPCL,BPCL.ns
Bharti Airtel,Telecommunication,BHARTIARTL,BHARTIARTL.ns
Bharti Hexacom,Telecommunication,BHARTIHEXA,BHARTIHEXA.ns
Bikaji Foods International,Fast Moving Consumer Goods,BIKAJI,BIKAJI.ns
Biocon,Healthcare,BIOCON,BIOCON.ns
Birla Corporation,Construction Materials,BIRLACORPN,BIRLACORPN.ns
Birlasoft,Information Technology,BSOFT,BSOFT.ns
Blue Dart Express,Services,BLUEDART,BLUEDART.ns
Blue Star,Consumer Durables,BLUESTARCO,BLUESTARCO.ns
Bombay Burmah Trading Corporation,Fast Moving Consumer Goods,BBTC,BBTC.ns
Bosch,Automobile and Auto Components,BOSCHLTD,BOSCHLTD.ns
Brigade Enterprises,Realty,BRIGADE,BRIGADE.ns
Britannia Industries,Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.ns
CE Info Systems,Information Technology,MAPMYINDIA,MAPMYINDIA.ns
CCL Products (I),Fast Moving Consumer Goods,CCL,CCL.ns
CESC,Power,CESC,CESC.ns
CG Power and Industrial Solutions,Capital Goods,CGPOWER,CGPOWER.ns
CIE Automotive India,Automobile and Auto Components,CIEINDIA,CIEINDIA.ns
CRISIL,Financial Services,CRISIL,CRISIL.ns
Campus Activewear,Consumer Durables,CAMPUS,CAMPUS.ns
Can Fin Homes,Financial Services,CANFINHOME,CANFINHOME.ns
Canara,Financial Services,CANBK,CANBK.ns
Caplin Point Laboratories,Healthcare,CAPLIPOINT,CAPLIPOINT.ns
Capri Global Capital,Financial Services,CGCL,CGCL.ns
Carborundum Universal,Capital Goods,CARBORUNIV,CARBORUNIV.ns
