"comp_name";"Industry";"Symbol";"yf_sym"
"360_ONE_WAM_Ltd";"Financial Services";"360ONE";"360ONE.ns"
"3M_India_Ltd";"Diversified";"3MINDIA";"3MINDIA.ns"
"ABB_India_Ltd";"Capital Goods";"ABB";"ABB.ns"
"ACC_Ltd";"Construction Materials";"ACC";"ACC.ns"
"AIA_Engineering_Ltd";"Capital Goods";"AIAENG";"AIAENG.ns"
"APL_Apollo_Tubes_Ltd";"Capital Goods";"APLAPOLLO";"APLAPOLLO.ns"
"AU_Small_Finance_Bank_Ltd";"Financial Services";"AUBANK";"AUBANK.ns"
"Aadhar_Housing_Finance_Ltd";"Financial Services";"AADHARHFC";"AADHARHFC.ns"
"Aarti_Industries_Ltd";"Chemicals";"AARTIIND";"AARTIIND.ns"
"Aavas_Financiers_Ltd";"Financial Services";"AAVAS";"AAVAS.ns"
"Abbott_India_Ltd";"Healthcare";"ABBOTINDIA";"ABBOTINDIA.ns"
"Action_Construction_Equipment_Ltd";"Capital Goods";"ACE";"ACE.ns"
"Adani_Energy_Solutions_Ltd";"Power";"ADANIENSOL";"ADANIENSOL.ns"
"Adani_Enterprises_Ltd";"Metals & Mining";"ADANIENT";"ADANIENT.ns"
"Adani_Green_Energy_Ltd";"Power";"ADANIGREEN";"ADANIGREEN.ns"
"Adani_Ports_and_Special_Economic_Zone_Ltd";"Services";"ADANIPORTS";"ADANIPORTS.ns"
"Adani_Power_Ltd";"Power";"ADANIPOWER";"ADANIPOWER.ns"
"Adani_Total_Gas_Ltd";"Oil Gas & Consumable Fuels";"ATGL";"ATGL.ns"
"Adani_Wilmar_Ltd";"Fast Moving Consumer Goods";"AWL";"AWL.ns"
"Aditya_Birla_Capital_Ltd";"Financial Services";"ABCAPITAL";"ABCAPITAL.ns"
"Aditya_Birla_Fashion_and_Retail_Ltd";"Consumer Services";"ABFRL";"ABFRL.ns"
"Aditya_Birla_Real_Estate_Ltd";"Forest Materials";"ABREL";"ABREL.ns"
"Aditya_Birla_Sun_Life_AMC_Ltd";"Financial Services";"ABSLAMC";"ABSLAMC.ns"
"Aegis_Logistics_Ltd";"Oil Gas & Consumable Fuels";"AEGISLOG";"AEGISLOG.ns"
